Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted
The Winter King,Bernard Cornwell,"February 1, 1994",431 pages,"['Historical Fiction', 'Fantasy', 'Fiction']",4.26,"Uther, the High King, has died, leaving the infant Mordred as his only heir. His uncle, the loyal and gifted warlord Arthur, now rules as caretaker for a country which has fallen into chaos - threats emerge from within the British kingdoms while vicious Saxon armies stand ready to invade. As he struggles to unite Britain and hold back the enemy at the gates, Arthur is embroiled in a doomed romance with beautiful Guinevere. Will the old-world magic of Merlin be enough to turn the tide of war in his favour?",0
Vampire Princess Rising,Jami Brumfield,"April 20, 2014",326 pages,"['Vampires', 'Witches', 'Angels']",4.38,"Savannah Winters went from homecoming queen to vampire princess in one terrifying night. Now she must find a way to survive the dark world she lives without letting the anger and depression overwhelm and destroy her. Maintaining a balance between her supernatural identity and human cover is more difficult then she could ever imagine. And her decision to separate herself from her family only makes matters worse. How could she forgive her sister, Rebecca for the role she played in her demise? It’s a question Rebecca struggles with herself as she attempts to rebuild the Arizona wolf pack after the massacre that left her a lone wolf. How can she convince her dear sweet sister, Savannah to forgive her? While Rebecca and Savannah juggle the challenges of their new identities, responsibilities, political alliances, and the men in their lives Hunter becomes obsessed with unlocking the powers they have as natural born witches and finding a cure to the viruses that changed his sisters lives indefinitely. More family secrets unravel and threaten to destroy the fragile connection the Winters siblings share while more enemies come out of the darkness to tear their new worlds apart.",0
Poison Princess,Kresley Cole,"October 1, 2012",369 pages,"['Fantasy', 'Young Adult', 'Paranormal']",4.12,"#1 New York Times bestselling author Kresley Cole introduces The Arcana Chronicles, post-apocalyptic tales filled with riveting action, the dark mysticism of Tarot cards, and breathtaking romance.She could save the world--or destroy it.Sixteen year old Evangeline""Evie"" Greene leads a charmed life--until she begins experiencing horrifying hallucinations. When an apocalyptic event decimates her Louisiana hometown, killing everyone she loves, Evie realizes her hallucinations were actually visions of the future--and they're still happening. Fighting for her life and desperate for answers, she must turn to her wrong-side-of-the-bayou classmate: Jack Deveaux.But she can't do either alone.With his mile-long rap sheet, wicked grin, and bad attitude, Jack is like no boy Evie has ever known. Even though he once scorned her and everything she represented, he agrees to protect Evie on her quest. She knows she can't totally trust Jack. If he ever cast that wicked grin her way, could she possibly resist him?Who can Evie trust?As Jack and Evie race to find the source of her visions, they meet others who have gotten the same call. An ancient prophesy is being played out, and Evie is not the only one with special powers. A group of teens has been chosen to reenact the ultimate battle between good and evil. But it's not always clear who is on which side...In Poison Princess, New York Times bestselling author Kresley Cole introduces a dark and intriguing world, full of unspeakable danger and irresistible romance.",0
Love Is Never Past Tense...,Janna Yeshanova,"January 1, 2009",208 pages,"['Romance', 'Russia', 'Historical Fiction']",4.18,"How could he possibly know that she, a complete stranger, would inexplicably affect his life and be with him forever, whether she was at his side or not? Drawn together in Russia on a romantic Black Sea beach, Serge and Janna fall headlong in love and rush into marriage. Their divorce months later leads to years of ""if only ..."" Pressured apart by family and fate, they repeatedly cross paths, never quite reconnecting, never quite letting go. Changes in the world, their careers, and their lives, cause them to surrender to external influences. As they build separate lives and families, their destinies, shaped by post-Soviet political intrigue, collapse into a struggle for their very survival, and dreams of a better life. Long time later, distant memories of young, passionate love spawn emails that lead to international calls reviving an intimate, romantic connection to remind them-and us-that Love is Never Past Tense",0
For the Love of Armin,Michael G. Kramer,"August 31, 2015",325 pages,"['Fiction', 'Adventure', 'Historical Fiction']",4.3,"In September of the year 9 A.D., the young Germanic warrior known as Armin to his friends and Arminius to his Roman enemies, successfully took on and defeated three entire Roman legions. This resulted in the deaths of over twenty thousand Roman soldiers. This in turn resulted in the Roman emperor called Tiberius recalling all Roman military units from Germania. The Germanic tribes would associate for their common good, often meeting and forming up for offensive or defensive war, but they were always separate and very independent. Armin knew that the best way to ensure that his country was not bothered by outside invaders again was to become a single country complete with it own army and navy. In this he crossed swords with the independent temper of his own people. They did not want any king from anywhere telling them what to do. In due course, this resulted in even the members of his own family taking up arms against him in order to make sure that the tribes of Germania remained independent and free. Such was the concern of the ancient Germanic tribesmen that this might not be the case, that Armin was murdered by the members of his own family.",0
Columbus Day,Craig Alanson,"January 11, 2016",299 pages,"['Science Fiction', 'Audiobook', 'Fiction']",4.26,"We were fighting on the wrong side, of a war we couldn't win. And that was the good news. The Ruhar hit us on Columbus Day. There we were, innocently drifting along the cosmos on our little blue marble, like the native Americans in 1492. Over the horizon come ships of a technologically advanced, aggressive culture, and BAM! There go the good old days, when humans only got killed by each other. So, Columbus Day. It fits. When the morning sky twinkled again, this time with Kristang starships jumping in to hammer the Ruhar, we thought we were saved. The UN Expeditionary Force hitched a ride on Kristang ships to fight the Ruhar, wherever our new allies thought we could be useful. So, I went from fighting with the US Army in Nigeria, to fighting in space. It was lies, all of it. We shouldn't even be fighting the Ruhar, they aren't our enemy, our allies are. I'd better start at the beginning....",0
On the Island,Tracey Garvis Graves,"September 4, 2011",328 pages,"['Romance', 'Contemporary', 'Contemporary Romance']",4.11,"When thirty-year-old English teacher Anna Emerson is offered a job tutoring T.J. Callahan at his family's summer rental in the Maldives, she accepts without hesitation; a working vacation on a tropical island trumps the library any day.T.J. Callahan has no desire to leave town, not that anyone asked him. He's almost seventeen and if having cancer wasn't bad enough, now he has to spend his first summer in remission with his family—and a stack of overdue assignments—instead of his friends.Anna and T.J. are en route to join T.J.'s family in the Maldives when the pilot of their seaplane suffers a fatal heart attack and crash-lands in the Indian Ocean. Adrift in shark-infested waters, their life jackets keep them afloat until they make it to the shore of an uninhabited island. Now Anna and T.J. just want to survive and they must work together to obtain water, food, fire, and shelter.Their basic needs might be met but as the days turn to weeks, and then months, the castaways encounter plenty of other obstacles, including violent tropical storms, the many dangers lurking in the sea, and the possibility that T.J.'s cancer could return. As T.J. celebrates yet another birthday on the island, Anna begins to wonder if the biggest challenge of all might be living with a boy who is gradually becoming a man.",0
Dark Horse,Michelle Diener,"June 15, 2015",382 pages,"['Science Fiction', 'Romance', 'Aliens']",4.09,"Some secrets carry the weight of the world.Rose McKenzie may be far from Earth with no way back, but she's made a powerful ally--a fellow prisoner with whom she's formed a strong bond. Sazo's an artificial intelligence. He's saved her from captivity and torture, but he's also put her in the middle of a conflict, leaving Rose with her loyalties divided.Captain Dav Jallan doesn't know why he and his crew have stumbled across an almost legendary Class 5 battleship, but he's not going to complain. The only problem is, all its crew are dead, all except for one strange, new alien being.She calls herself Rose. She seems small and harmless, but less and less about her story is adding up, and Dav has a bad feeling his crew, and maybe even the four planets, are in jeopardy. The Class 5's owners, the Tecran, look set to start a war to get it back and Dav suspects Rose isn't the only alien being who survived what happened on the Class 5. And whatever else is out there is playing its own games.In this race for the truth, he's going to have to go against his leaders and trust the dark horse.Winner of a SFR Galaxy Award 2016 and the Prism Award 2016 for Best Futuristic.",0
Risen,Guillermo del Toro,"July 1, 2024",25 pages,"['Horror', 'Fiction', 'Short Stories']",4.02,"What has been awakened is unbound. The Boy is getting his first taste of freedom. As their comrades fall, fear threatens to consume the survivors in part four of The Boy in the Iron Box.Liev’s get his men out of this ancient stone prison, take their chances with the wolves, and descend the summit at first light. But in this snowbound hell, there’s soon to be a frightening new twist to survival.From Academy Award–winning filmmaker Guillermo del Toro comes Risen, part four of The Boy in the Iron Box, a blood-chilling series of short stories about an ancient secret that was never meant to be unleashed, featuring exclusive interior artwork. Each can be read or listened to in one breathless sitting.",0
Ice Planet Barbarians,Ruby Dixon,"April 3, 2015",188 pages,"['Romance', 'Science Fiction', 'Fantasy']",3.63,"You'd think being abducted by aliens would be the worst thing that could happen to me. And you'd be wrong. Because now, the aliens are having ship trouble, and they've left their cargo of human women—including me—on an ice planet. And the only native inhabitant I've met? He's big, horned, blue, and really, really has a thing for me...",0
The Survival Rule,Stephen Penner,"November 29, 2023",264 pages,"['Thriller', 'Mystery', 'Crime']",4.19,"A family on top of the world. With a long, long way to fall.Attorney Daniel Raine is hired by Adam Harper, the son of Seattle’s biggest real estate developer. Adam wants to seize control of the family company by declaring his father mentally unfit.There’s only one problem. It soon becomes clear that the old man is very much in possession of his mental faculties and Raine is going to lose the case. Ever the pragmatist, Raine decides to stick with it and rack up some billable hours.But he soon finds himself in the middle of a deadly dispute as various members of this powerful family fight to gain control of the business. Each more ruthless than the last, they will stop at nothing to get what they want. Including murder.As the case unfolds, Raine uncovers a familial web of deceit and treachery. And, as he closes in on the final truth, he himself becomes a target in this twisted game where only one thing matters – The Survival Rule.",0
An Accidental Goddess,Linnea Sinclair,"October 1, 2002",434 pages,"['Romance', 'Science Fiction', 'Science Fiction Romance']",4.03,"Raheiran Special Forces captain Gillaine Davré has just woken up in some unknown space way station, wondering where the last three hundred years have gone. The last thing she remembers is her ship being attacked. Now it seems that while she was time-traveling, she was ordained a goddess…. Gillaine’s only hope of survival rests with dangerously seductive Admiral Mack Makarian, who suspects her of being a smuggler—or worse. But he can’t begin to imagine the full extent of it. For Gillaine is now Lady Kiasidira, holy icon to countless believers, including Mack—a man who inspires feelings in her that are far from saintly…feelings she knows are mutual. But when their flirtation is interrupted by a treacherous enemy from the past, Gillaine’s secret—and secret desires—could destroy them both….",0
Pompeii,Robert   Harris,"November 21, 2003",274 pages,"['Historical Fiction', 'Fiction', 'Historical']",3.87,"All along the Mediterranean coast, the Roman empire's richest citizens are relaxing in their luxurious villas, enjoying the last days of summer. The world's largest navy lies peacefully at anchor in Misenum. The tourists are spending their money in the seaside resorts of Baiae, Herculaneum, and Pompeii.But the carefree lifestyle and gorgeous weather belie an impending cataclysm, and only one man is worried. The young engineer Marcus Attilius Primus has just taken charge of the Aqua Augusta, the enormous aqueduct that brings fresh water to a quarter of a million people in nine towns around the Bay of Naples. His predecessor has disappeared. Springs are failing for the first time in generations. And now there is a crisis on the Augusta's sixty-mile main line—somewhere to the north of Pompeii, on the slopes of Mount Vesuvius.Attilius—decent, practical, and incorruptible—promises Pliny, the famous scholar who commands the navy, that he can repair the aqueduct before the reservoir runs dry. His plan is to travel to Pompeii and put together an expedition, then head out to the place where he believes the fault lies. But Pompeii proves to be a corrupt and violent town, and Attilius soon discovers that there are powerful forces at work—both natural and man-made—threatening to destroy him.With his trademark elegance and intelligence, Robert Harris, bestselling author of Archangel and Fatherland, re-creates a world on the brink of disaster.",0
On Dublin Street,Samantha Young,"August 31, 2012",372 pages,"['Romance', 'Contemporary', 'Contemporary Romance']",4.15,"Jocelyn Butler has been hiding from her past for years. But all her secrets are about to be laid bare ...Four years ago, Jocelyn left her tragic past behind in the States and started over in Scotland, burying her grief, ignoring her demons, and forging ahead without attachments. Her solitary life is working well - until she moves into a new apartment on Dublin Street, where she meets a man who shakes her carefully guarded world to its core.Braden Carmichael is used to getting what he wants, and he's determined to get Jocelyn into his bed. Knowing how skittish she is about entering a relationship, Braden proposes an arrangement that will satisfy their intense attraction without any strings attached.But after an intrigued Jocelyn accepts, she realizes that Braden won't be satisfied with just mind-blowing passion. The stubborn Scotsman is intent on truly knowing her . . . down to the very soul.",0
Dangerous Play,Elise Hart Kipness,"September 24, 2024",282 pages,"['Fiction', 'Drama', 'Young Adult']",4.27,"After a tumultuous murder case that almost cost more than her job, sports reporter Kate Green is back on assignment covering women’s Olympic soccer. Between her experience with athletic stardom and days playing with Savannah Baker, head coach of the USA team, Kate is sure to get the story that will reestablish her career.She just didn’t expect that story to involve murder.When famous jewelry designer Alexa Kane is found dead in the locker room, Kate’s promising future screeches to a halt as her past resurfaces. Alexa played with Kate and Savannah on the US youth national team , but there was no reason for her to be at the stadium now.Kate’s investigation puts her in close contact with her estranged father, an NYPD detective who has his own past to answer for. As their secrets collide, Kate will have to decide which ones to keep—and which ones to reveal to stop the killer.",0
The Going To Bed Book,Sandra Boynton,"November 30, 1982",16 pages,"['Picture Books', 'Childrens', 'Fiction']",4.24,"Getting ready for sleep is tons of fun in this special anniversary edition of a Sandra Boynton classic.""The sun has set not long ago.Now everybody goes belowto take a bath in one big tubwith soap all over—SCRUB SCRUB SCRUB!""This classic bedtime story is just right for winding down the day as a joyful, silly group of animals scrub scrub scrub in the tub, brush and brush and brush their teeth, and finally rock and rock and rock to sleep.This anniversary edition has an enlarged trim size and metallic ink on the cover, making this Boynton classic even more special.",0
Beautiful Chaos,Kami Garcia,"October 18, 2011",516 pages,"['Fantasy', 'Young Adult', 'Paranormal']",3.92,"Ethan Wate thought he was getting used to the strange, impossible events happening in Gatlin, his small Southern town. But now that Ethan and Lena have returned home, strange and impossible have taken on new meanings. Swarms of locusts, record-breaking heat, and devastating storms ravage Gatlin as Ethan and Lena struggle to understand the impact of Lena's Claiming. Even Lena's family of powerful Supernaturals is affected - and their abilities begin to dangerously misfire. As time passes, one question becomes clear: What — or who — will need to be sacrificed to save Gatlin?For Ethan, the chaos is a frightening but welcome distraction. He's being haunted in his dreams again, but this time it isn't by Lena - and whatever is haunting him is following him out of his dreams and into his everyday life. Even worse, Ethan is gradually losing pieces of himself — forgetting names, phone numbers, even memories. He doesn't know why, and most days he's too afraid to ask.Sometimes there isn't just one answer or one choice. Sometimes there's no going back. And this time there won't be a happy ending.",0
A Fire Upon the Deep,Vernor Vinge,"January 1, 1992",613 pages,"['Science Fiction', 'Fiction', 'Space Opera']",4.14,"Alternate Cover Edition can be found here. A Fire upon the Deep is the big, breakout book that fulfills the promise of Vinge's career to date: a gripping tale of galactic war told on a cosmic scale.Thousands of years hence, many races inhabit a universe where a mind's potential is determined by its location in space, from superintelligent entities in the Transcend, to the limited minds of the Unthinking Depths, where only simple creatures and technology can function. Nobody knows what strange force partitioned space into these ""regions of thought,"" but when the warring Straumli realm use an ancient Transcendent artifact as a weapon, they unwittingly unleash an awesome power that destroys thousands of worlds and enslaves all natural and artificial intelligence.Fleeing the threat, a family of scientists, including two children, are taken captive by the Tines, an alien race with a harsh medieval culture, and used as pawns in a ruthless power struggle. A rescue mission, not entirely composed of humans, must rescue the children-and a secret that may save the rest of interstellar civilization.",0
The Invisible Boy,Trudy Ludwig,"October 8, 2013",32 pages,"['Picture Books', 'Childrens', 'Realistic Fiction']",4.43,"A simple act of kindness can transform an invisible boy into a friend…Meet Brian, the invisible boy. Nobody ever seems to notice him or think to include him in their group, game, or birthday party... until, that is, a new kid comes to class.When Justin, the new boy, arrives, Brian is the first to make him feel welcome. And when Brian and Justin team up to work on a class project together, Brian finds a way to shine.From esteemed author and speaker Trudy Ludwig and acclaimed illustrator Patrice Barton, this gentle story shows how small acts of kindness can help children feel included and allow them to flourish. Any parent, teacher, or counselor looking for material that sensitively addresses the needs of quieter children will find The Invisible Boy a valuable and important resource. Includes backmatter with discussion questions and resources for further reading.",0
The Nowhere Man,Gregg Hurwitz,"January 17, 2017",369 pages,"['Thriller', 'Fiction', 'Mystery']",4.15,"He was once called Orphan X. As a boy, Evan Smoak was taken from a children's home, raised and trained as part of a secret government initiative buried so deep that virtually no one knows it exists. But he broke with the programme, choosing instead to vanish off grid and use his formidable skill set to help those unable to protect themselves.One day, though, Evan's luck ran out . . .Ambushed, drugged, and spirited away, Evan wakes up in a locked room with no idea where he is or who has captured him. As he tries to piece together what's happened, testing his gilded prison and its highly trained guards for weaknesses, he receives a desperate call for help.With time running out, he will need to out-think, out-manoeuvre, and out-fight an opponent the likes of whom he's never encountered to have any chance of escape. He's got to save himself to protect those whose lives depend on him. Or die trying . . .",0
The False Prince,Jennifer A. Nielsen,"April 1, 2012",342 pages,"['Fantasy', 'Young Adult', 'Middle Grade']",4.23,"In a discontent kingdom, civil war is brewing. To unify the divided people, Conner, a nobleman of the court, devises a cunning plan to find an impersonator of the king's long-lost son and install him as a puppet prince. Four orphans are recruited to compete for the role, including a defiant boy named Sage. Sage knows that Conner's motives are more than questionable, yet his life balances on a sword's point—he must be chosen to play the prince or he will certainly be killed. But Sage's rivals have their own agendas as well.As Sage moves from a rundown orphanage to Conner's sumptuous palace, layer upon layer of treachery and deceit unfold, until finally, a truth is revealed that, in the end, may very well prove more dangerous than all of the lies taken together.",0
Service Model,Adrian Tchaikovsky,"June 4, 2024",376 pages,"['Science Fiction', 'Fiction', 'Audiobook']",4.05,"To fix the world they first must break it further.Humanity is a dying breed, utterly reliant on artificial labor and service. When a domesticated robot gets a nasty little idea downloaded into their core programming, they murder their owner. The robot then discovers they can also do something else they never did before: run away. After fleeing the household, they enter a wider world they never knew existed, where the age-old hierarchy of humans at the top is disintegrating, and a robot ecosystem devoted to human wellbeing is finding a new purpose.",0
Old Man's War,John Scalzi,"December 27, 2005",318 pages,"['Science Fiction', 'Fiction', 'Space Opera']",4.23,"John Perry did two things on his 75th birthday. First he visited his wife's grave. Then he joined the army.The good news is that humanity finally made it into interstellar space. The bad news is that planets fit to live on are scarce-- and alien races willing to fight us for them are common. So: we fight. To defend Earth, and to stake our own claim to planetary real estate. Far from Earth, the war has been going on for decades: brutal, bloody, unyielding.Earth itself is a backwater. The bulk of humanity's resources are in the hands of the Colonial Defense Force. Everybody knows that when you reach retirement age, you can join the CDF. They don't want young people; they want people who carry the knowledge and skills of decades of living. You'll be taken off Earth and never allowed to return. You'll serve two years at the front. And if you survive, you'll be given a generous homestead stake of your own, on one of our hard-won colony planets.John Perry is taking that deal. He has only the vaguest idea what to expect. Because the actual fight, light-years from home, is far, far harder than he can imagine--and what he will become is far stranger.",0
Claimed,Evangeline Anderson,"February 9, 2011",321 pages,"['Romance', 'Science Fiction', 'Aliens']",3.79,"Olivia Waterhouse has just graduated from nursing school and has her whole life ahead of her—until she gets drafted. Problem is, she isn’t being forced into the Army, she’s been chosen as a Kindred bride. The Kindred are huge alien warriors—a race of genetic traders whose population is ninety-five percent male. After saving Earth from the threat of invasion they demand a reward—the right to find brides among the population. The chances of being chosen are about the same as those of winning the lottery—guess it’s just Liv’s lucky day. Baird is a Beast Kindred who recently escaped imprisonment and torture at the hands of the malevolent Scourge. Through the torment and pain only one thing kept him sane—the thought of finding and claiming his bride—Olivia. His need to possess her is a burning intensity that threatens to consume them both.Angry at having her future and her family taken away from her, Liv vows to fight back the only way she can—by resisting. She has one month on the Kindred Mothership with Baird—their claiming period. If she can keep from having bonding sex with him during that time, she can go home and get on with her life on Earth. But Baird isn’t going to make it easy for her. Every week he is allowed to touch Liv more and more intimately and according to the contract she signed, she has to let him. She’s determined to resist him but his touch sets her on fire. And just as she thinks she knows what she wants, a twist of fate and an attack by the faceless Scourge AllFather changes everything…",0
Compulsory,Martha Wells,"December 17, 2018",8 pages,"['Science Fiction', 'Short Stories', 'Fiction']",4.33,"Murderbot—the sardonic, almost-homicidal, media-loving android created by Martha Wells—has proven to be one of the most popular characters in 21 st century science fiction. Everything that makes this protagonist (it would be wrong to call Murderbot a hero) beloved of fans is on display in Compulsory.While trying to watch episode 44 of The Rise and Fall of Sanctuary Moon, Murderbot is—again, what is it with humans?—distracted by something that is technically outside its purview. A miner is suddenly in danger following a pointless (to Murderbot’s way of thinking) argument, and the choice is to risk discovery and leap into action, which would require hitting the pause button during a very exciting part of SanctuaryMoon, or to follow orders and stay still.This is a tougher choice than it seems. But then, when has Murderbot ever been faced with an easy choice?A shorter version of this story originally appeared in Wired magazine.",0
My Big Fat Zombie Goldfish,Mo O'Hara,"February 1, 2013",191 pages,"['Childrens', 'Fiction', 'Humor']",3.89,"When Tom's big brother decides to become an Evil Scientist, his first experiment involves dunking Frankie the goldfish into toxic green gunk. Tom and his best friend Pradeep know that there is only one thing to Zap the fish with a battery and bring him back to life! But there's something weird about the new Frankie. He's now a BIG FAT ZOMBIE GOLDFISH with hypnotic powers . . . and he's out for revenge! Mo O'Hara's debut novel, a New York Times bestseller, is the first book in a hilarious illustrated chapter book series.",0
Little Owl's Night,Divya Srinivasan,"September 1, 2011",40 pages,"['Picture Books', 'Childrens', 'Animals']",4.06,"It's evening in the forest and Little Owl wakes up from his day-long sleep to watch his friends enjoying the night. Hedgehog sniffs for mushrooms, Skunk nibbles at berries, Frog croaks, and Cricket sings. A full moon rises and Little Owl can't understand why anyone would want to miss it. Could the daytime be nearly as wonderful? Mama Owl begins to describe it to him, but as the sun comes up, Little Owl falls fast asleep.Putting a twist on the bedtime book, Little Owl's Night is sure to comfort any child with a curiosity about the night.",0
Blood Bound,Patricia Briggs,"January 30, 2007",292 pages,"['Urban Fantasy', 'Fantasy', 'Paranormal']",4.3,"Under the rule of science, there are no witch burnings allowed, no water trials or public lynchings. In return, the average law-abiding, solid citizen has little to worry about from the things that go bump in the night. Sometimes I wish I was an average citizen...Mechanic Mercy Thompson has friends in low places-and in dark ones. And now she owes one of them a favor. Since she can shapeshift at will, she agrees to act as some extra muscle when her vampire friend Stefan goes to deliver a message to another of his kind.But this new vampire is hardly ordinary-and neither is the demon inside of him.",0
Light Bringer,Pierce Brown,"July 25, 2023",682 pages,"['Science Fiction', 'Fantasy', 'Fiction']",4.75,"Darrow returns as Pierce Brown’s New York Times bestselling Red Rising series continues in the thrilling sequel to Dark Age. “The measure of a man is not the fear he sows in his enemies. It is the hope he gives his friends.”—Virginia au AugustusThe Reaper is a legend, more myth than man: the savior of worlds, the leader of the Rising, the breaker of chains.But the Reaper is also Darrow, born of the red soil of Mars: a husband, a father, a friend.The worlds once needed the Reaper. But now they need Darrow. Because after the dark age will come a new age: of light, of victory, of hope.",0
The Bone Church,Victoria Dougherty,"April 13, 2014",308 pages,"['Historical Fiction', 'Thriller', 'Fiction']",3.84,"In the surreal and paranoid underworld of wartime Prague, fugitive lovers Felix Andel and Magdalena Ruza make some dubious alliances – with a mysterious Roman Catholic cardinal, a reckless sculptor intent on making a big political statement, and a gypsy with a risky sex life. As one by one their chances for fleeing the country collapse, the two join a plot to assassinate Hitler’s nefarious Minister of Public Enlightenment and Propaganda, Josef Goebbels. But the assassination attempt goes wildly wrong, propelling the lovers in separate directions. Felix’s destiny is sealed at the Bone Church, a mystical pilgrimage site on the outskirts of Prague, while Magdalena is thrust even deeper into the bowels of a city that betrayed her and a homeland soon to be swallowed by the Soviets. As they emerge from the shadowy fog of World War II, and stagger into the foul haze of the Cold War, Felix and Magdalena must confront the past, and a dangerous, uncertain future.",0
Some Girls Bite,Chloe Neill,"April 7, 2009",341 pages,"['Urban Fantasy', 'Vampires', 'Paranormal']",3.98,"They killed me. They healed me. They changed me.Sure, the life of a graduate student wasn’t exactly glamorous, but it was Merit’s. She was doing fine until a rogue vampire attacked her. But he only got a sip before he was scared away by another bloodsucker–and this one decided the best way to save her life was to make her the walking undead.Turns out her savior was the master vampire of Cadogan House. Now she’s traded sweating over her thesis for learning to fit in at a Hyde Park mansion full of vamps loyal to Ethan Sullivan. Of course, as a tall, green-eyed, four-hundred-year-old vampire, he has centuries’ worth of charm, but unfortunately, he expects her gratitude–and servitude.But an inconvenient sunlight allergy and Ethan’s attitude are the least of her concerns. Someone’s still out to get her. Her initiation into Chicago’s nightlife may be the first skirmish in a war–and there will be blood.",0
The Thief,Megan Whalen Turner,"October 31, 1996",280 pages,"['Fantasy', 'Young Adult', 'Fiction']",3.85,"Nothing is overdone and not a word is out of place in this auspicious debut,"" wrote Kirkus in a starred review of Instead of Three Wishes, the first book by Megan Whalen Turner. Her second book more than fulfills that promise. The king's scholar, the magus, believes he knows the site of an ancient treasure. To attain it for his king, he needs a skillful thief, and he selects Gen from the king's prison. The magus is interested only in the thief's abilities. What Gen is interested in is anyone's guess. Their journey toward the treasure is both dangerous and difficult, lightened only imperceptibly by the tales they tell of the old gods and goddesses.Megan Whalen Turner weaves Gen's stories and Gen's story together with style and verve in a novel that is filled with intrigue, adventure, and surprise.",0
Magic Study,Maria V. Snyder,"September 26, 2006",392 pages,"['Fantasy', 'Young Adult', 'Magic']",4.04,"You know your life is complicated when you miss your days as a poison taster...With her greatest enemy dead, and on her way to be united with the family she'd been stolen from long ago, Yelena should be pleased. But although she has gained her freedom, she once again finds herself alone - separated from her lover Valek and suspected as a spy for her reluctance to conform to Sitian ways.Despite the turmoil, she's eager to start her magic training - especially as she's been given one year to harness her power or be put to death. But her plans take a radical turn when she becomes embroiled in a plot to reclaim Ixia's throne for a lost prince - and gets entangled in powerful rivalries with her fellow magicians. If that wasn't bad enough, it appears her brother would love to see her dead. Luckily, Yelena has some old friends to help her with her new enemies.",0
The Asset,Saul Herzog,"Published April 10, 2020",564 pages,"['Thriller', 'Fiction', 'Espionage']",4.29,"Montana, USAWhen Lance Spector quit the CIA, he swore he was out for good. One more government lie and he would go off the deep end. They could find someone else to do their dirty work. As far as he was concerned, Washington, Langley, the Pentagon could all go to hell.Yekaterinburg, RussiaA secret Russian expedition returns with a devastating new pathogen, harvested from the frozen corpses of mammoths. It's the biological super weapon they've been looking for, an apocalypse-level pathogen, a virus more deadly than anything ever to come out of a Russian lab. Something that will stop NATO and the Americans in their tracks.A Biological Chernobyl.Washington DC, USAA mysterious vial, sealed in a titanium case, arrives at CIA headquarters. They have no idea who sent it, but it comes with a note.""I will only speak to Lance Spector.""",0
All of Me,Kelly Moran,"September 1, 2015",304 pages,"['Contemporary Romance', 'Romance', 'Contemporary']",3.95,"For ten months, bestselling novelist Alec Winston hasn’t been able to type a single word, and he’s coming dangerously close to breaching his publishing contract. An invitation from his brother to spend the summer in Wilmington Beach might be just the thing to blast through his writer’s block. Yet Alec discovers more than a spark of inspiration on the sunny sands. He meets an amber-eyed muse who makes him think about much more than books . . . Faith Armstrong has finally gathered the courage to leave her past behind and accepted a job as a private tutor, hoping for a fresh start on the North Carolina coast. This is the home she’s always longed for—not just a place, but a state of mind. She’s felt invisible her whole life, so the host of new friends and the attention of a sexy author have her head spinning. But Alec has a secret that could prove this isn’t the life Faith dreamed of after all . . .",0
Things Not Seen,Andrew Clements,"March 4, 2002",256 pages,"['Young Adult', 'Science Fiction', 'Fiction']",3.89,"Bobby Phillips is an average fifteen-year-old boy. Until the morning he wakes up and can't see himself in the mirror. Not blind, not dreaming. Bobby is just plain invisible... There doesn't seem to be any rhyme or reason to Bobby's new condition; even his dad the physicist can't figure it out. For Bobby that means no school, no friends, no life. He's a missing person. Then he meets Alicia. She's blind, and Bobby can't resist talking to her, trusting her. But people are starting to wonder where Bobby is. Bobby knows that his invisibility could have dangerous consequences for his family and that time is running out. He has to find out how to be seen again before it's too late.",0
Song of the Sparrow,Lisa Ann Sandell,"May 1, 2007",394 pages,"['Historical Fiction', 'Young Adult', 'Fantasy']",4.09,"The year is 490 AD. Fiery 16-year-old Elaine of Ascolat, the daughter of one of King Arthur's supporters, lives with her father on Arthur's base camp, the sole girl in a militaristic world of men. Elaine's only girl companion is the mysterious Morgan, Arthur's older sister, but Elaine cannot tell Morgan her deepest secret: She is in love with Lancelot, Arthur's second-in-command. However, when yet another girl -- the lovely Gwynivere-- joins their world, Elaine is confronted with startling emotions of jealousy and rivalry. But can her love for Lancelot survive the birth of an empire?",0
The Worst Ship in the Fleet,Skyler Ramirez,"August 25, 2023",146 pages,"['Science Fiction', 'Fiction', 'Space Opera']",4.06,"A Military Science Fiction Adventure!Brad Mendoza is an idiot. He knows it, and so does everyone else. A promising naval career down the drain just because he accidentally killed 504 civilians. So, it's time for him to give up and accept a dead-end command on Persephone, the worst ship in the fleet. Until he meets the beautiful and cunning Jessica Lin, his new executive officer, who harbors a terrible secret of her own. Now, he's in a race to save her and his stupid ship.But Brad Mendoza is an idiot. We'll just have to hope that he's the lucky kind.This book was first published on Kindle Vella as The Worst Ship in the Fleet, episodes 1-18. An exciting military sci-fi adventure and space crime thriller with plenty of twists and turns and a touch of snarky humor. Order today!",0
