Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted
Seven Years in Tibet,Heinrich Harrer,"January 1, 1953",330 pages,"['Nonfiction', 'Travel', 'History']",4.1,"Recounts how the author, an Austrian, escaped from an English internment camp in India in 1943 and spent the next seven years in Tibet, observing its social practices, religion, politics, and people.",1
"Farewell, My Lovely",Raymond Chandler,"January 1, 1940",292 pages,"['Mystery', 'Fiction', 'Crime']",4.1,"Alternative cover edition of ISBN 9780394758275Marlowe's about to give up on a completely routine case when he finds himself in the wrong place at the right time to get caught up in a murder that leads to a ring of jewel thieves, another murder, a fortune-teller, a couple more murders, and more corruption than your average graveyard.",1
About Schmidt,Louis Begley,"September 3, 1996",275 pages,"['Fiction', 'Novels', 'Literature']",3.22,"Proud, traditional, and impeccably organized, Albert Schmidt is a button-down lawyer of the old school.  But now, after years of carefulmanagement, his life is slowly unraveling.  His beloved wife has recently died.  He stumbles--or is he being pushed?--into earlyretirement.  And his daughter, his only child, is planning to marry a man Schmidt cannot approve of, for reasons he can scarcely admit, even to himself.  As Schmidt gropes for resolutions, he finds unexpected hope in an intense passion that comes out of the blue.Set in the Hamptons and Manhattan, infused with black humor and startling eroticism, About Schmidt is both a meditation on lonelinessand on the power of romance to unlock the most impenetrable recesses of the heart.",1
All You Need Is Kill,Hiroshi Sakurazaka,"December 18, 2004",201 pages,"['Science Fiction', 'Fiction', 'Manga']",4.03,"There’s one thing worse than dying. It’s coming back to do it again and again… When the alien Gitai invade, Keiji Kiriya is just one of many raw recruits shoved into a suit of battle armor and sent out to kill. Keiji dies on the battlefield, only to find himself reborn each morning to fight and die again and again. On the 158th iteration though, he sees something different, something out of place: the female soldier known as the Bitch of War. Is the Bitch the key to Keiji’s escape, or to his final death?",1
The Postman Always Rings Twice,James M. Cain,"January 1, 1934",127 pages,"['Fiction', 'Mystery', 'Crime']",3.77,"An amoral young tramp. A beautiful, sullen woman with an inconvenient husband. A problem that has only one grisly solution--a solution that only creates other problems that no one can ever solve.First published in 1934 and banned in Boston for its explosive mixture of violence and eroticism, The Postman Always Rings Twice is a classic of the roman noir . It established James M. Cain as a major novelist with an unsparing vision of America's bleak underside, and was acknowledged by Albert Camus as the model for The Stranger .From the Trade Paperback edition.",1
The Beach,Alex Garland,"October 14, 1996",436 pages,"['Fiction', 'Travel', 'Thriller']",3.98,"The irresistible novel that was adapted into a major motion picture starring Leonardo DiCaprio.The Khao San Road, Bangkok -- first stop for the hordes of rootless young Westerners traveling in Southeast Asia. On Richard's first night there, in a low-budget guest house, a fellow traveller slashes his wrists, bequeathing to Richard a meticulously drawn map to ""the Beach.""The Beach, as Richard has come to learn, is the subject of a legend among young travellers in Asia: a lagoon hidden from the sea, with white sand and coral gardens, freshwater falls surrounded by jungle, plants untouched for a thousand years. There, it is rumoured, a carefully selected international few have settled in a communal Eden.Haunted by the figure of Mr. Duck -- the name by which the Thai police have identified the dead man -- and his own obsession with Vietnam movies, Richard sets off with a young French couple to an island hidden away in an archipelago forbidden to tourists. They discover the Beach, and it is as beautiful and idyllic as it is reputed to be. Yet over time it becomes clear that Beach culture, as Richard calls it, has troubling, even deadly, undercurrents.Spellbinding and hallucinogenic, The Beach by Alex Garland -- both a national bestseller and his debut -- is a highly accomplished and suspenseful novel that fixates on a generation in their twenties, who, burdened with the legacy of the preceding generation and saturated by popular culture, long for an unruined landscape, but find it difficult to experience the world first hand.",1
Jonathan Livingston Seagull,Richard Bach,"January 1, 1970",112 pages,"['Fiction', 'Classics', 'Philosophy']",3.86,"This is a story for people who follow their hearts and make their own rules...people who get special pleasure out of doing something well, even if only for themselves...people who know there's more to this living than meets the eye: they’ll be right there with Jonathan, flying higher and faster than ever they dreamed.Jonathan Livingston Seagull is no ordinary bird. He believes it is every gull's right to fly, to reach the ultimate freedom of challenge and discovery, finding his greatest reward in teaching younger gulls the joy of flight and the power of dreams. The special 20th anniversary release of this spiritual classic!",1
Red Riding Hood,Sarah Blakley-Cartwright,"January 25, 2011",352 pages,"['Fantasy', 'Young Adult', 'Romance']",3.47,"The blacksmith would marry her.The woodcutter would run away with her.The werewolf would turn her into one of its own.Valerie's sister was beautiful, kind, and sweet. Now she is dead. Henry, the handsome son of the blacksmith, tries to console Valerie, but her wild heart beats fast for another: the outcast woodcutter, Peter, who offers Valerie another life far from home.After her sister's violent death, Valerie's world begins to spiral out of control. For generations, the Wolf has been kept at bay with a monthly sacrifice. But now no one is safe. When an expert Wolf hunter arrives, the villagers learn that the creature lives among them--it could be anyone in town.It soon becomes clear that Valerie is the only one who can hear the voice of the creature. The Wolf says she must surrender herself before the blood moon wanes...or everyone she loves will die.Based on a screenplay written by David Leslie Johnson",1
Pivot Point,Kasie West,"February 12, 2013",343 pages,"['Young Adult', 'Paranormal', 'Fantasy']",4.07,"Knowing the outcome doesn’t always make a choice easier . . .Addison Coleman’s life is one big “What if?” As a Searcher, whenever Addie is faced with a choice, she can look into the future and see both outcomes. It’s the ultimate insurance plan against disaster. Or so she thought. When Addie’s parents ambush her with the news of their divorce, she has to pick who she wants to live with—her father, who is leaving the paranormal compound to live among the “Norms,” or her mother, who is staying in the life Addie has always known. Addie loves her life just as it is, so her answer should be easy. One Search six weeks into the future proves it’s not.In one potential future, Addie is adjusting to life outside the Compound as the new girl in a Norm high school where she meets Trevor, a cute, sensitive artist who understands her. In the other path, Addie is being pursued by the hottest guy in school—but she never wanted to be a quarterback’s girlfriend. When Addie’s father is asked to consult on a murder in the Compound, she’s unwittingly drawn into a dangerous game that threatens everything she holds dear. With love and loss in both lives, it all comes down to which reality she’s willing to live through . . . and who she can’t live without.",1
The Hours,Michael Cunningham,"July 31, 1998",230 pages,"['Fiction', 'Historical Fiction', 'Contemporary']",3.95,"The Pulitzer Prize-winning novel that became a motion picture starring Meryl Streep, Julianne Moore, and Nicole Kidman, directed by Stephen Daldry from a screenplay by David Hare.In The Hours, Michael Cunningham, widely praised as one of the most gifted writers of his generation, draws inventively on the life and work of Virginia Woolf to tell the story of a group of contemporary characters struggling with the conflicting claims of love and inheritance, hope and despair. The narrative of Woolf's last days before her suicide early in World War II counterpoints the fictional stories of Samuel, a famous poet whose life has been shadowed by his talented and troubled mother, and his lifelong friend Clarissa, who strives to forge a balanced and rewarding life in spite of the demands of friends, lovers, and family.Passionate, profound, and deeply moving, this is Cunningham's most remarkable achievement to date.",1
Running with Scissors,Augusten Burroughs,"July 10, 2002",336 pages,"['Memoir', 'Nonfiction', 'Biography']",3.76,"Running with Scissors is the true story of a boy whose mother (a poet with delusions of Anne Sexton) gave him away to be raised by her unorthodox psychiatrist who bore a striking resemblance to Santa Claus. So at the age of twelve, Burroughs found himself amidst Victorian squalor living with the doctor’s bizarre family, and befriending a pedophile who resided in the backyard shed. The story of an outlaw childhood where rules were unheard of, and the Christmas tree stayed up all year round, where Valium was consumed like candy, and if things got dull an electroshock- therapy machine could provide entertainment. The funny, harrowing and bestselling account of an ordinary boy’s survival under the most extraordinary circumstances.",1
The Velveteen Rabbit,Margery Williams Bianco,"January 1, 1922",40 pages,"['Classics', 'Childrens', 'Fiction']",4.31,"Nursery magic is very strange and wonderful, and only those playthings that are old and wise and experienced like the Skin Horse understand all about it.Like the Skin Horse, Margery Williams understood how toys—and people—become real through the wisdom and experience of love. This reissue of a favorite classic, with the original story and illustrations as they first appeared in 1922, will work its magic for all who read it.",1
Fences,August Wilson,"June 1, 1986",101 pages,"['Plays', 'Drama', 'Classics']",3.88,"Winner of the Pulitzer Prize for Drama and the Tony Award for Best Play. Now a Major Motion Picture directed by and starring Denzel Washington.From August Wilson, author of The Piano Lesson and the 1984-85 Broadway season's best play, Ma Rainey's Black Bottom, is another powerful, stunning dramatic work that has won him numerous critical acclaim including the 1987 Tony Award for Best Play and the Pulitzer Prize. The protagonist of Fences (part of Wilson's ten-part Pittsburgh Cycle plays), Troy Maxson, is a strong man, a hard man. He has had to be to survive. Troy Maxson has gone through life in an America where to be proud and black is to face pressures that could crush a man, body and soul. But the 1950s are yielding to the new spirit of liberation in the 1960s, a spirit that is changing the world Troy Maxson has learned to deal with the only way he can, a spirit that is making him a stranger, angry and afraid, in a world he never knew and to a wife and son he understands less and less.",1
Cranford,Elizabeth Gaskell,"January 1, 1853",257 pages,"['Classics', 'Fiction', 'Historical Fiction']",3.84,"Elizabeth Gaskell's portrait of kindness, compassion, and hopeCranford depicts the lives and preoccupations of the inhabitants of a small village - their petty snobberies, appetite for gossip, and loyal support for each other in times of need This is a community that runs on cooperation and gossip, at the very heart of which are the daughters of the former rector: Miss Deborah Jenkyns and her sister Miss Matty, But domestic peace is constantly threatened in the form of financial disaster, imagined burglaries, tragic accidents, and the reapparance of long-lost relatives. to Lady Glenmire, who shocks everyone by marrying the doctor. When men do appear, such as 'modern' Captain Brown or Matty's suitor from the past, they bring disruption and excitement to the everyday life of Cranford.In her introduction, Patricia Ingham places the novel in its literary and historical context, and discusses the theme of female friendship and Gaskell's narrative technique. This edition also contains an account of Gaskell's childhood in Knutsford, on which Cranford is based, appendices on fashion and domestic duties supplemented by illustrations, a chronology of Gaskell's life and works, suggestions for further reading, and explanatory notes.",1
Watchmen,Alan             Moore,"November 1, 1987",416 pages,"['Graphic Novels', 'Fiction', 'Science Fiction']",4.38,"Watchmen, the groundbreaking series from award-winning author Alan Moore and Dave Gibbons, presents a world where the mere presence of American superheroes changed history—the U.S. won the Vietnam War, Nixon is still president, and the Cold War is in full effect.Considered the greatest graphic novel in the history of the medium, the Hugo Award-winning story chronicles the fall from grace of a group of superheroes plagued by all-too-human failings. Along the way, the concept of the superhero is dissected as an unknown assassin stalks the erstwhile heroes.",1
The Scorch Trials,James Dashner,"October 12, 2010",361 pages,"['Young Adult', 'Dystopia', 'Science Fiction']",3.9,Solving the Maze was supposed to be the end.  Thomas was sure that escape from the Maze would mean freedom for him and the Gladers. But WICKED isn’t done yet. Phase Two has just begun. The Scorch.  There are no rules. There is no help. You either make it or you die. The Gladers have two weeks to cross through the Scorch—the most burned-out section of the world. And WICKED has made sure to adjust the variables and stack the odds against them.  Friendships will be tested. Loyalties will be broken. All bets are off.  There are others now. Their survival depends on the Gladers’ destruction—and they’re determined to survive.,1
Wives and Daughters,Elizabeth Gaskell,"January 1, 1866",679 pages,"['Fiction', 'Classics', 'Romance']",4.13,"Wives and Daughters is a novel by Elizabeth Gaskell, first published in the Cornhill Magazine as a serial from August 1864 to January 1866. It was partly written whilst Gaskell was staying with the salon hostess Mary Elizabeth Mohl at her home on the Rue de Bac in Paris. When Mrs Gaskell died suddenly in 1865, it was not quite complete, and the last section was written by Frederick Greenwood.",1
The Old Man and the Sea,Ernest Hemingway,"September 1, 1952",96 pages,"['Fiction', 'Literature', 'Novels']",3.81,"Librarian's note: An alternate cover edition can be found hereThis short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses—specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.",1
Quiet American,Graham Greene,"December 1, 1955",189 pages,"['Fiction', 'Classics', 'Historical Fiction']",3.97,"Starring Michael Caine and Brendan Fraser, The Quiet American is already gaining incredible buzz -- including a Golden Globe nomination for Caine (Best Actor, Drama). This enchanting film is directed by Phillip Noyce (Rabbit-Proof Fence; The Bone Collector; Clear and Present Dange r) and is adapted from one of Graham Greene’s best-loved novels. Into the intrigue and violence of Indo-China comes Pyle, a young idealistic American sent to promote democracy through a mysterious “Third Force.” As his naïve optimism starts to cause bloodshed, his friend Fowler, a cynical foreign correspondent, finds it hard to stand aside and watch. But even as he intervenes he wonders for the sake of politics, or for love.",1
The Spiderwick Chronicles Box Set,Tony DiTerlizzi,"January 1, 2004",602 pages,"['Fantasy', 'Childrens', 'Middle Grade']",4.07,"It all started with a mysterious letter left at a tiny bookstore for authors Tony DiTerlizzi and Holly Black. Its closing lines: ""We just want people to know about this. The stuff that has happened to us could happen to anyone."" Little could they imagine the remarkable adventure that awaited them as they followed Jared, Simon, and Mallory Grace and a strange old book into a world filled with elves, goblins, dwarves, trolls, and a fantastical menagerie of other creatures. The oddest part is in entering that world, they didn't leave this one!Five captivating books!One thrilling adventure!The Spiderwick Chronicles",1
Death on the Nile,Agatha Christie,"November 1, 1937",352 pages,"['Mystery', 'Fiction', 'Crime']",4.12,"The tranquility of a lovely cruise along the Nile is shattered by the discovery that Linnet Ridgeway has been shot. She was young, stylish and beautiful, a girl who had everything – until she lost her life.Who is also on board? Christie's great detective Hercule Poirot is on holiday. He recalls an earlier outburst by a fellow passenger: ‘I’d like to put my dear little pistol against her head and just press the trigger.’ Despite the exotic setting, nothing is ever quite what it seems…",1
Jean de Florette,Marcel Pagnol,"January 1, 1962",288 pages,"['France', 'Fiction', 'Classics']",4.19,"Au village des Bastides Blanches, on hait ceux de Crespin. C'est pourquoi lorsque Jean Cadoret, le Bossu, s'installe à la ferme des Romarins, on ne lui parle pas de la source cachée. Ce qui facilite les manœuvres des Soubevran, le Papet et son neveu Ugolin. qui veulent lui racheter son domaine à bas prix... Jean de Florette (1962), premier volume de L'Eau des collines, marque, trente ans après Pirouettes, le retour de Pagnol au roman. C'est l'épopée de l'eau nourricière sans laquelle rien n'est possible. Marcel Pagnol y développe l'histoire du père de Manon, évoquée sous forme de flash-back dans le filin Manon des sources (1952). Les dialogues sont savoureux, et la prose aussi limpide que dans les Souvenirs d'enfance. Quant au Papet et à Ugolin, à la fois drôles et terrifiants, ils sont parmi les créations les plus complexes de Pagnol. "" Tri comprends, s'ils avaient bu l'eau de la citerne, c'est sûr qu'ils seraient morts tous les trois, et moi ça m'aurait embêté. D'avoir bouché la source, c'est pas criminel : c'est pour les œillets. Mais si, à cause de ça, il y avait des morts, eh bien peut-être qu'après nous n'en parlerions pas, mais nous y penserions.",1
The Lathe of Heaven,Ursula K. Le Guin,"May 1, 1971",176 pages,"['Science Fiction', 'Fiction', 'Fantasy']",4.13,"Ursula K. Le Guin has been in the vanguard of science fiction since the publication of her first novel in 1966. Her essays and criticism, short stories and novels, have won numerous literary prizes--including the Hugo, Nebula, World Fantasy, Tiptree, and National Book Awards--reverent critical acclaim, and a vast, devoted readership that reaches far beyond the genre. But out of all she has produced--all the brilliant speculations advanced and wondrous new worlds imagined--this is the work which perhaps best endures in the mind, the heart and the conscience. The Lathe of Heaven is George Orr's story--a man who dreams things into being, for better or for worse. It is a dark vision and a warning--a fable of power uncontrolled and uncontrollable--a truly prescient and startling view of humanity, and the consequences of God-playing. It is, quite simply, a masterpiece.",1
Casino Royale,Ian Fleming,"January 1, 1953",212 pages,"['Fiction', 'Thriller', 'Classics']",3.74,"In the first James Bond novel, 007 takes on Le Chiffre, a French communist and paymaster of the Soviet murder organization SMERSH, as the suave agent becomes involved in a high-stakes game of baccarat, enjoys a fiery love affair with a sexy female spy, and endures torture at the hands of a master sadist. Reissue. (A Sony Pictures film, written by Neal Purvis, directed by Martin Campbell, releasing November 2006, starring Daniel Craig, Judi Dench, Eva Green, & Giancarlo Giannini) (Suspense)",1
Jean de Florette & Manon of the Springs,Marcel Pagnol,"January 1, 1963",448 pages,"['Fiction', 'France', 'Classics']",4.35,"In Jean de Florette and Manon of the Springs, Marcel Pagnol (called by Andre Malraux ""one of the great writers of our generation"" and by Jean Renoir ""the leading film artist of his age"") achieves the fullest and most satisfying expression of a story that haunted him for years, a Provencal legend of vengeance exacted by a mysterious sheperdess. Pagnol brings to his treatment of this powerful, moving story his dramatist's sense of place, ambience, and character and his keen understanding of the Provencal countryside and its people. Rich with twists and ramifications, Jean de Florette and Manon of the Springs sets an idealistic city man against two secretive and deceitful Provencal country men in a superbly realized story of a struggle for life, of crime and punishment, of betrayal and revenge, and of judgment and forgiveness. In this edition, illustrated with images from the acclaimed film adaptation by Claude Berri, North Point presents Pagnol's enduring story in W.E. van Heyningen's exact and sensitive translation.Biblical in its cadences, epic in its sweep to destiny, and old fashioned in development of character and plot, this saga charts the destruction of a Provencal family.",1
Cujo,Stephen        King,"January 1, 1981",432 pages,"['Horror', 'Fiction', 'Thriller']",3.79,"Durante toda su vida Cujo fue un buen perro, un San Bernardo grandote, pacífico, juguetón y amante de los niños. Realmente se trataba de un perro bueno y feliz. Feliz hasta que le sucedió algo, y el cerebro de perro de Cujo se cubrió de una de esas oscuridades que se alimentan de sangre. Ahora, se ha convertido en un perro asesino; doblemente cruel por cuanto la gente no conoce su mutación y aún le ve en su anterior bondad. Heraldo de un pequeño Apocalipsis, Cujo desencadenará sobre un pueblo modélico un huracán de pánico y de muerte.Uno de los grandes clásicos de Stephen King, el gran maestro actual de la literatura de terror.",1
Invasion of the Body Snatchers,Jack Finney,"January 1, 1955",224 pages,"['Science Fiction', 'Horror', 'Fiction']",3.9,"On a quiet fall evening in the small, peaceful town of Mill Valley, California, Dr. Miles Bennell discovered an insidious, horrifying plot. Silently, subtly, almost imperceptibly, alien life-forms were taking over the bodies and minds of his neighbors, his friends, his family, the woman he loved—the world as he knew it. First published in 1955, this classic thriller of the ultimate alien invasion and the triumph of the human spirit over an invisible enemy inspired three major motion pictures.",1
Disclosure,Michael Crichton,"January 1, 1994",464 pages,"['Fiction', 'Thriller', 'Mystery']",3.8,"Thomas Sanders' world collapses in just 24 hours - he is passed over for promotion, his new woman boss comes on to him during a drink after work, then, the next morning, he learns that she has accused him of sexually harassing her. She demands his transfer, thereby threatening to cut him off from the millions he would have made when his high-tech company was floated on the stock market.What follow next made Disclosure the most talked about novel of the decade.",1
This is Where I Leave You,Jonathan Tropper,"November 10, 2003",339 pages,"['Fiction', 'Humor', 'Contemporary']",3.88,"A riotously funny, emotionally raw New York Times bestselling novel about love, marriage, divorce, family, and the ties that bind—whether we like it or not.The death of Judd Foxman’s father marks the first time that the entire Foxman clan has congregated in years. There is, however, one conspicuous absence: Judd's wife, Jen, whose affair with his radio- shock-jock boss has recently become painfully public. Simultaneously mourning the demise of his father and his marriage, Judd joins his dysfunctional family as they reluctantly sit shiva and spend seven days and nights under the same roof. The week quickly spins out of control as longstanding grudges resurface, secrets are revealed and old passions are reawakened. Then Jen delivers the clincher: she's pregnant...“Often sidesplitting, mostly heartbreaking...[Tropper is] a more sincere, insightful version of Nick Hornby, that other master of male psyche.”—USA Today NOW A MAJOR MOTION PICTURE STARRING JASON BATEMAN, TINA FEY, JANE FONDA, AND ADAM DRIVER",1
Postcards from the Edge,Carrie Fisher,"August 1, 1987",226 pages,"['Fiction', 'Humor', 'Audiobook']",3.62,"Fisher beautifully brings readers the inside of Hollywood through a web of humor, drugs, relationships, Hollywood Party Terror, and much more. The plot centers on a 30-year-old actress named Suzanne Vale, and follows her challenges as she overcomes her drug addiction, gets back into the swing of things, and falls in love, sort of.",1
Carolina Moon,Nora Roberts,"March 6, 2000",470 pages,"['Romance', 'Romantic Suspense', 'Mystery']",4.09,"From #1 New York Times bestselling author Nora Roberts--an utterly spellbinding tale about a woman who, though battered in both body and spirit, can never lose Hope...Tory Bodeen grew up in South Carolina, in a small run-down house, where her father ruled with an iron fist and a leather belt--and where her dreams and talents had no room to flourish. But she had Hope, who lived in the big house just a short skip away and whose friendship allowed Tory to be something she wasn't allowed to be at home: a child.After young Hope's brutal murder, unsolved to this day, Tory's life began to fall apart. And now, as she returns to her hometown, with plans to settle in and open a stylish home-design shop, she is determined to find a measure of peace and free herself from the haunting visions of the past. As she forges a new bond with Cade Lavelle--Hope's older brother and the heir to the family fortune--she isn't sure whether the tragic loss they share will unite them or drive them apart. But she is willing to open her heart, just a little, and try.Living so close to those unhappy memories will be more difficult and frightening than Tory could ever have expected, however. Because Hope's murderer is nearby as well...",1
Heart of Darkness,Joseph Conrad,"January 1, 1899",117 pages,"['Fiction', 'Classics', 'Literature']",3.43,"Heart of Darkness, a novel by Joseph Conrad, was originally a three-part series in Blackwood's Magazine in 1899. It is a story within a story, following a character named Charlie Marlow, who recounts his adventure to a group of men onboard an anchored ship. The story told is of his early life as a ferry boat captain. Although his job was to transport ivory downriver, Charlie develops an interest in investing an ivory procurement agent, Kurtz, who is employed by the government. Preceded by his reputation as a brilliant emissary of progress, Kurtz has now established himself as a god among the natives in “one of the darkest places on earth.” Marlow suspects something else of Kurtz: he has gone mad.A reflection on corruptive European colonialism and a journey into the nightmare psyche of one of the corrupted, Heart of Darkness is considered one of the most influential works ever written.",1
The Picture of Dorian Gray & Other Fantastic Tales,Oscar Wilde,"Published January 1, 2010",360 pages,"['Genre indisponible', 'Genre indisponible', 'Genre indisponible']",4.0,"This edition contains FOUR STORIES and six ""Poems in Prose"": The Picture of Dorian Gray, Lord Arthur Savile's Crime, The Canterville Ghost, The Sphinx Without a Secret",1
Shutter Island,Dennis Lehane,"April 13, 2003",369 pages,"['Mystery', 'Fiction', 'Thriller']",4.13,"The year is 1954. U.S. Marshal Teddy Daniels and his new partner, Chuck Aule, have come to Shutter Island, home of Ashecliffe Hospital for the Criminally Insane, to investigate the disappearance of a patient. Multiple murderess Rachel Solando is loose somewhere on this remote and barren island, despite having been kept in a locked cell under constant surveillance. As a killer hurricane relentlessly bears down on them, a strange case takes on even darker, more sinister shades—with hints of radical experimentation, horrifying surgeries, and lethal countermoves made in the cause of a covert shadow war. No one is going to escape Shutter Island unscathed, because nothing at Ashecliffe Hospital is what it seems. But then neither is Teddy Daniels.",1
A Night to Remember,Walter Lord,"January 1, 1955",232 pages,"['History', 'Nonfiction', 'Classics']",4.09,"""There is no danger that Titanic will sink. The boat is unsinkable and nothing but inconvenience will be suffered by the passengers."" (Phillip Franklin, White Star Line Vice-President).On April 15th, 1912, Titanic, the world's largest passenger ship, sank after colliding with an iceberg, claiming more than 1,500 lives. Walter Lord's classic bestselling history of the voyage, the wreck and the aftermath is a tour de force of detailed investigation and the upstairs/downstairs divide. ""A Night to Remember"" provides a vivid, gripping and deeply personal account of the 'unsinkable' Titanic's descent.It comes with a new foreword by Julian Fellowes and the cover is annotated 'The Classic Bestselling Account of the Sinking of the Titanic'.",1
Mermaids,Patty  Dann,"December 1, 1986",192 pages,"['Fiction', 'Historical Fiction', 'Coming Of Age']",3.68,"""Mrs. Flax was happiest when she was leaving a place, but I wanted to stay put long enough to fall down crazy and hear the Word of God. I always called my mother Mrs. Flax.""So begins this extraordinary first novel about one wild year in the life of fourteen-year-old Charlotte Flax, when she and her sister Kate move with Mrs. Flax into a sleepy 1960's Massachusetts town. Mrs. Flax is a woman who wears polka-dot dresses and serves hors d'oeuvres for dinner every night, and Kate is a child who basically wants to be a fish.And then there's Charlotte, who in Patty Dann's hands, is transformed into a young woman of infinite whim and variety. Charlotte's main ambition in life is to become a saint, preferably martyred, though she's Jewish. She's smitten with the shy young caretaker at the convent at the top of the hill. Dann has created a young girl who accepts the unkindness of the mad universe in which she's whirling and takes it on with a savage glee.Charlotte Flax is like no one you have ever met--and someone you know very well.",1
The Twelve Chairs,Ilya Ilf,"January 1, 1928",395 pages,"['Fiction', 'Russia', 'Classics']",4.4,English (translation)Original Russian,1
The Death Cure,James Dashner,"October 11, 2011",325 pages,"['Young Adult', 'Dystopia', 'Science Fiction']",3.78,"It’s the end of the line. WICKED has taken everything from Thomas: his life, his memories, and now his only friends—the Gladers. But it’s finally over. The trials are complete, after one final test. Will anyone survive? What WICKED doesn’t know is that Thomas remembers far more than they think. And it’s enough to prove that he can’t believe a word of what they say. The truth will be terrifying. Thomas beat the Maze. He survived the Scorch. He’ll risk anything to save his friends. But the truth might be what ends it all.  The time for lies is over.",1
The Hunchback of Notre-Dame,Victor Hugo,"March 16, 1831",510 pages,"['Fiction', 'Classics', 'Historical Fiction']",4.02,"This extraordinary historical French gothic novel, set in Medieval Paris under the twin towers of its greatest structure and supreme symbol, the cathedral of Notre-Dame, is the haunting drama of Quasimodo, the disabled bell-ringer of Notre-Dame, as he struggles to stand up to his ableist guardian Claude Frollo, who also wants to commit genocide against Paris' Romani population.The novel has been described as a key text in French literature[1] and has been adapted for film over a dozen times, in addition to numerous television and stage adaptations, such as a 1923 silent film with Lon Chaney, a 1939 sound film with Charles Laughton, and a 1996 Disney animated film with Tom Hulce (both as Quasimodo).The novel sought to preserve values of French culture in a time period of great change, which resulted in the destruction of many French Gothic structures. The novel made Notre-Dame de Paris a national icon and served as a catalyst for renewed interest in the restoration of Gothic form.",1
All the Bright Places,Jennifer Niven,"January 6, 2015",388 pages,"['Young Adult', 'Romance', 'Contemporary']",4.12,"The Fault in Our Stars meets Eleanor and Park in this exhilarating and heart-wrenching love story about a girl who learns to live from a boy who intends to die.Soon to be a major motion picture starring Elle Fanning! Theodore Finch is fascinated by death, and he constantly thinks of ways he might kill himself. But each time, something good, no matter how small, stops him. Violet Markey lives for the future, counting the days until graduation, when she can escape her Indiana town and her aching grief in the wake of her sister’s recent death. When Finch and Violet meet on the ledge of the bell tower at school, it’s unclear who saves whom. And when they pair up on a project to discover the “natural wonders” of their state, both Finch and Violet make more important discoveries: It’s only with Violet that Finch can be himself—a weird, funny, live-out-loud guy who’s not such a freak after all. And it’s only with Finch that Violet can forget to count away the days and start living them. But as Violet’s world grows, Finch’s begins to shrink. This is an intense, gripping novel perfect for fans of Jay Asher, Rainbow Rowell, John Green, Gayle Forman, and Jenny Downham from a talented new voice in YA, Jennifer Niven.",1
Crash,J.G. Ballard,"June 28, 1973",224 pages,"['Fiction', 'Science Fiction', 'Horror']",3.59,"In Ballard's hallucinatory novel, the car provides the hellish tableau in which Vaughan, a ""TV scientist"" turned ""nightmare angel of the highways,"" experiments with erotic atrocities among auto crash victims, each more sinister than the last. James Ballard, his friend and fellow obsessive, tells the story of this twisted visionary as he careens rapidly toward his own demise in an intentionally orchestrated car crash with Elizabeth Taylor. A classic work of cutting edge fiction, Crash explores the disturbing potentialities of contemporary society's increasing dependence on technology as intermediary in human relations.",1
Anywhere But Here,Mona Simpson,"December 12, 1986",416 pages,"['Fiction', 'Coming Of Age', 'Novels']",3.56,"Published originally in 1987, Mona Simpson's first novel is now available in paperback. It tells the story of a mother and daughter who make their way west from Wisconsin, living off an ex-husband's credit card.",1
Sphere,Michael Crichton,"January 1, 1987",371 pages,"['Science Fiction', 'Fiction', 'Thriller']",3.83,"A psychological thriller about a group of scientists who investigate a spaceship discovered on the ocean floor. In the middle of the South Pacific, a thousand feet below the surface, a huge vessel is unearthed. Rushed to the scene is a team of American scientists who descend together into the depths to investigate the astonishing discovery. What they find defies their imaginations and mocks their attempts at logical explanation. It is a spaceship, but apparently it is undamaged by its fall from the sky. And, most startling, it appears to be at least three hundred years old, containing a terrifying and destructive force that must be controlled at all costs.",1
The Red Badge of Courage,Stephen Crane,"October 1, 1895",149 pages,"['Classics', 'Fiction', 'Historical Fiction']",3.29,"Enriched Classics offer readers accessible editions of great works of literature enhanced by helpful notes and commentary. Each book includes educational tools alongside the text, enabling students and readers alike to gain a deeper and more developed understanding of the writer and their work.Henry Fleming has joined the Union army because of his romantic ideas of military life, but soon finds himself in the middle of a battle against a regiment of Confederate soldiers. Terrified, Henry deserts his comrades. Upon returning to his regiment, he struggles with his shame as he tries to redeem himself and prove his courage.The Red Badge of Courage is Stephen Crane’s second book, notable for its realism and the fact that Crane had never personally experienced battle. Crane drew heavy inspiration from Century Magazine, a periodical known for its articles about the American Civil War. However, he criticized the articles for their lack of emotional depth and decided to write a war novel of his own. The manuscript was first serialized in December 1894 by The Philadelphia Press and quickly won Crane international acclaim before he died in June 1900 at the age of 28.",1
